Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Peas & beans (Pulses),2018,Kharif     ,Arunachal Pradesh,672.0,680,2992.9,108998.4,235.2,1.021904762
Peas & beans (Pulses),2018,Rabi       ,Arunachal Pradesh,3690.0,5775,2992.9,598518.0,1291.5,1.735714286
Potato,2018,Whole Year ,Arunachal Pradesh,6175.0,44118,2992.9,1001585.0,2161.25,6.735909091
Rapeseed &Mustard,2018,Rabi       ,Arunachal Pradesh,28206.0,28735,2992.9,4575013.2,9872.1,1.245714286
Rice,2018,Kharif     ,Arunachal Pradesh,133200.0,239998,2992.9,21605040.0,46620.0,1.737727273
Sesamum,2018,Kharif     ,Arunachal Pradesh,2053.0,1831,2992.9,332996.6,718.55,0.874444444
Small millets,2018,Kharif     ,Arunachal Pradesh,26775.0,27402,2992.9,4342905.0,9371.25,1.021363636
Soyabean,2018,Kharif     ,Arunachal Pradesh,3132.0,4438,2992.9,508010.4,1096.2,1.495714286
Sugarcane,2018,Whole Year ,Arunachal Pradesh,2130.0,45792,2992.9,345486.0,745.5,23.578
Sunflower,2018,Kharif     ,Arunachal Pradesh,573.0,468,2992.9,92940.6,200.55,0.851818182
Turmeric,2018,Whole Year ,Arunachal Pradesh,820.0,3731,2992.9,133004.0,287.0,4.379090909
Urad,2018,Kharif     ,Arunachal Pradesh,1144.0,1028,2992.9,185556.8,400.4,0.987
Urad,2018,Rabi       ,Arunachal Pradesh,1448.0,1385,2992.9,234865.6,506.8,1.0635
Wheat,2018,Rabi       ,Arunachal Pradesh,3930.0,7742,2992.9,637446.0,1375.5,2.151818182
other oilseeds,2018,Kharif     ,Arunachal Pradesh,715.0,649,2992.9,115973.0,250.25,1.14
Arhar/Tur,2019,Kharif     ,Arunachal Pradesh,819.0,712,2433.3,140671.44,303.03,0.872777778
Dry chillies,2019,Whole Year ,Arunachal Pradesh,3645.0,10498,2433.3,626065.2,1348.65,2.842
Ginger,2019,Whole Year ,Arunachal Pradesh,7900.0,55474,2433.3,1356904.0,2923.0,6.1016
Groundnut,2019,Kharif     ,Arunachal Pradesh,923.0,905,2433.3,158534.48,341.51,1.26
Maize,2019,Kharif     ,Arunachal Pradesh,51100.0,79205,2433.3,8776936.0,18907.0,1.6756
Masoor,2019,Rabi       ,Arunachal Pradesh,454.0,356,2433.3,77979.04,167.98,0.923846154
Moong(Green Gram),2019,Kharif     ,Arunachal Pradesh,1318.0,1354,2433.3,226379.68,487.66,1.121904762
Other  Rabi pulses,2019,Rabi       ,Arunachal Pradesh,1273.0,824,2433.3,218650.48,471.01,0.711052632
Other Kharif pulses,2019,Kharif     ,Arunachal Pradesh,2506.0,2346,2433.3,430430.56,927.22,0.9816
Peas & beans (Pulses),2019,Kharif     ,Arunachal Pradesh,674.0,688,2433.3,115766.24,249.38,1.056956522
Peas & beans (Pulses),2019,Rabi       ,Arunachal Pradesh,3704.0,5432,2433.3,636199.04,1370.48,1.773333333
Potato,2019,Whole Year ,Arunachal Pradesh,6200.0,44950,2433.3,1064912.0,2294.0,6.8024
Rapeseed &Mustard,2019,Rabi       ,Arunachal Pradesh,28261.0,28791,2433.3,4854109.36,10456.57,1.221666667
Rice,2019,Kharif     ,Arunachal Pradesh,133500.0,244741,2433.3,22929960.0,49395.0,1.7792
Sesamum,2019,Kharif     ,Arunachal Pradesh,2058.0,1835,2433.3,353482.08,761.46,0.847619048
Small millets,2019,Kharif     ,Arunachal Pradesh,26790.0,27460,2433.3,4601450.4,9912.3,1.0152
Soyabean,2019,Kharif     ,Arunachal Pradesh,3137.0,4447,2433.3,538811.12,1160.69,1.499583333
Sugarcane,2019,Whole Year ,Arunachal Pradesh,2146.0,46139,2433.3,368596.96,794.02,23.74764706
Sunflower,2019,Kharif     ,Arunachal Pradesh,574.0,469,2433.3,98590.24,212.38,0.836153846
Turmeric,2019,Whole Year ,Arunachal Pradesh,835.0,3758,2433.3,143419.6,308.95,4.297692308
Urad,2019,Kharif     ,Arunachal Pradesh,1148.0,1039,2433.3,197180.48,424.76,0.998695652
Urad,2019,Rabi       ,Arunachal Pradesh,1454.0,1400,2433.3,249739.04,537.98,1.089130435
Wheat,2019,Rabi       ,Arunachal Pradesh,3930.0,7742,2433.3,675016.8,1454.1,2.168333333
other oilseeds,2019,Kharif     ,Arunachal Pradesh,717.0,650,2433.3,123151.92,265.29,1.116666667
Dry chillies,1998,Whole Year ,Arunachal Pradesh,1236.0,1582,3616.7,122116.8,358.44,1.7575
Ginger,1998,Whole Year ,Arunachal Pradesh,4385.0,31091,3616.7,433238.0,1271.65,4.981818182
Groundnut,1998,Rabi       ,Arunachal Pradesh,500.0,400,3616.7,49400.0,145.0,0.751538462
Maize,1998,Kharif     ,Arunachal Pradesh,36244.0,47022,3616.7,3580907.2,10510.76,1.458461538
Oilseeds total,1998,Whole Year ,Arunachal Pradesh,26481.0,25300,3616.7,2616322.8,7679.49,0.955384615
Potato,1998,Whole Year ,Arunachal Pradesh,4846.0,31567,3616.7,478784.8,1405.34,6.744615385
Rapeseed &Mustard,1998,Rabi       ,Arunachal Pradesh,20631.0,19630,3616.7,2038342.8,5982.99,0.979230769
Rice,1998,Kharif     ,Arunachal Pradesh,115481.0,114116,3616.7,11409522.8,33489.49,0.965384615
Sesamum,1998,Kharif     ,Arunachal Pradesh,1360.0,750,3616.7,134368.0,394.4,0.612
Small millets,1998,Kharif     ,Arunachal Pradesh,17976.0,15601,3616.7,1776028.8,5213.04,0.888333333
Soyabean,1998,Kharif     ,Arunachal Pradesh,2720.0,3390,3616.7,268736.0,788.8,1.425384615
Sugarcane,1998,Whole Year ,Arunachal Pradesh,743.0,15032,3616.7,73408.4,215.47,17.69111111
Sunflower,1998,Kharif     ,Arunachal Pradesh,435.0,205,3616.7,42978.0,126.15,0.474615385
Turmeric,1998,Whole Year ,Arunachal Pradesh,366.0,1199,3616.7,36160.8,106.14,3.574285714
Wheat,1998,Rabi       ,Arunachal Pradesh,3660.0,4395,3616.7,361608.0,1061.4,1.166666667
Dry chillies,1999,Whole Year ,Arunachal Pradesh,1499.0,1696,2338.6,159088.87,404.73,1.2625
Ginger,1999,Whole Year ,Arunachal Pradesh,4399.0,34890,2338.6,466865.87,1187.73,5.327272727
Maize,1999,Kharif     ,Arunachal Pradesh,35637.0,48328,2338.6,3782154.81,9621.99,1.516923077
Oilseeds total,1999,Whole Year ,Arunachal Pradesh,27748.0,27228,2338.6,2944895.24,7491.96,0.943076923
Potato,1999,Whole Year ,Arunachal Pradesh,4960.0,32434,2338.6,526404.8,1339.2,6.365833333
Rice,1999,Kharif     ,Arunachal Pradesh,122740.0,134807,2338.6,13026396.2,33139.8,1.097692308
Small millets,1999,Kharif     ,Arunachal Pradesh,19800.0,17123,2338.6,2101374.0,5346.0,0.876153846
Sugarcane,1999,Whole Year ,Arunachal Pradesh,809.0,16219,2338.6,85859.17,218.43,16.47375
Turmeric,1999,Whole Year ,Arunachal Pradesh,404.0,1473,2338.6,42876.52,109.08,4.262857143
Wheat,1999,Rabi       ,Arunachal Pradesh,3896.0,5069,2338.6,413482.48,1051.92,1.374166667
Dry chillies,2000,Whole Year ,Arunachal Pradesh,1317.0,2097,2157.7,129289.89,342.42,1.815833333
Ginger,2000,Whole Year ,Arunachal Pradesh,4774.0,35295,2157.7,468663.58,1241.24,5.773
Maize,2000,Kharif     ,Arunachal Pradesh,38429.0,52297,2157.7,3772574.93,9991.54,1.478461538
Oilseeds total,2000,Whole Year ,Arunachal Pradesh,26301.0,27252,2157.7,2581969.17,6838.26,1.003846154
Potato,2000,Whole Year ,Arunachal Pradesh,5621.0,36743,2157.7,551813.57,1461.46,6.783076923
Rice,2000,Kharif     ,Arunachal Pradesh,118601.0,132690,2157.7,11643060.17,30836.26,1.066153846
Small millets,2000,Kharif     ,Arunachal Pradesh,20149.0,17332,2157.7,1978027.33,5238.74,0.905384615
Sugarcane,2000,Whole Year ,Arunachal Pradesh,811.0,14358,2157.7,79615.87,210.86,16.885
Turmeric,2000,Whole Year ,Arunachal Pradesh,454.0,1872,2157.7,44569.18,118.04,4.847142857
Wheat,2000,Rabi       ,Arunachal Pradesh,4397.0,6226,2157.7,431653.49,1143.22,1.374166667
Dry chillies,2001,Whole Year ,Arunachal Pradesh,1629.0,2128,2128.5,166369.77,423.54,1.48
Ginger,2001,Whole Year ,Arunachal Pradesh,4613.0,38021,2128.5,471125.69,1199.38,6.304545455
Maize,2001,Kharif     ,Arunachal Pradesh,38577.0,52511,2128.5,3939869.01,10030.02,1.455384615
Oilseeds total,2001,Whole Year ,Arunachal Pradesh,27560.0,29307,2128.5,2814702.8,7165.6,1.021538462
Potato,2001,Whole Year ,Arunachal Pradesh,4646.0,32635,2128.5,474495.98,1207.96,6.809230769
Rice,2001,Kharif     ,Arunachal Pradesh,119455.0,134621,2128.5,12199939.15,31058.3,1.135384615
Small millets,2001,Kharif     ,Arunachal Pradesh,19740.0,17851,2128.5,2016046.2,5132.4,0.939230769
Sugarcane,2001,Whole Year ,Arunachal Pradesh,1036.0,18920,2128.5,105806.68,269.36,17.73888889
Turmeric,2001,Whole Year ,Arunachal Pradesh,573.0,2094,2128.5,58520.49,148.98,4.02625
